CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
WBA000124,application,"Web Based Application",WBS000088,IM0000019,Closed,4,4,4,0.439908807,incident,KM0000611,closed,6,"21-09-2012 12:56",,"08-11-2013 14:23","08-11-2013 14:23","3,06,74,49,167",Software,1,SD0000040,,1,C00000056
WBA000124,application,"Web Based Application",WBS000088,IM0000020,Closed,4,4,4,0.291927638,incident,KM0000611,closed,8,"01-10-2012 10:49",,"08-11-2013 14:18","08-11-2013 14:22","1,32,26,19,167",Software,1,SD0000042,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000021,Closed,4,4,4,0.776486429,incident,KM0000401,closed,5,"02-10-2012 12:12","28-01-2014 14:07","04-02-2014 09:38","04-02-2014 09:38","1,13,24,28,333",Software,2,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000022,Closed,4,4,4,0.592713494,incident,KM0000611,closed,17,"15-10-2012 15:50",,,"14-11-2013 13:33","6,67,54,16,667",Software,1,SD0000043,2,,
SBA000698,application,"Server Based Application",WBS000090,IM0000023,Closed,3,3,3,0.025310167,incident,KM0000670,closed,1,"18-10-2012 14:33",,"12-12-2013 10:23","12-12-2013 10:24","3,11,43,58,056",Data,1,SD0000045,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000024,Closed,4,4,4,0.701704659,incident,KM0000401,closed,3,"23-10-2012 12:01",,"08-11-2013 14:57","08-11-2013 14:58","2,83,79,50,556",Other,1,SD0000046,2,,
SUB000539,subapplication,"Web Based Application",WBS000073,IM0000028,Closed,4,4,4,0.440612692,incident,KM0000852,closed,1,"21-11-2012 11:53",,"20-12-2013 11:30","20-12-2013 11:31","1,22,37,48,333",Other,1,SD0000053,,,
SUB000535,subapplication,"Web Based Application",WBS000066,IM0000031,Closed,4,4,4,0.151630128,incident,KM0000928,closed,7,"05-12-2012 15:17",,"30-10-2013 08:45","30-10-2013 08:45","3,79,27,77,778",Unknown,1,SD0000055,,,
DTA000616,application,"Desktop Application",WBS000092,IM0000033,Closed,3,3,3,0.860254961,incident,KM0001430,closed,17,"07-12-2012 14:34",,"30-11-2013 10:39","30-11-2013 10:39","2,62,67,33,889",Other,2,#MULTIVALUE,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000034,Closed,5,5,5,0.663615311,incident,KM0000401,closed,5,"10-12-2012 14:44","11-02-2014 14:50","28-03-2014 14:20","28-03-2014 14:20","9,31,78,08,333",Other,2,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000035,Closed,4,4,4,0.42814765,incident,KM0000611,closed,6,"24-12-2012 16:31",,"14-11-2013 09:49","14-11-2013 09:49","1,93,04,83,333",Referred,1,SD0000058,2,,
WBA000116,application,"Web Based Application",WBS000066,IM0000038,Closed,4,4,4,0.070123275,incident,KM0000579,closed,4,"15-01-2013 15:36",,"29-01-2014 15:01","29-01-2014 15:01","2,78,19,11,944",Software,1,SD0000063,1,,
WBA000124,application,"Web Based Application",WBS000088,IM0000041,Closed,4,4,4,0.529580963,incident,KM0000611,closed,2,"22-01-2013 16:38",,"08-11-2013 14:55","08-11-2013 14:55","2,15,07,85,833",Other,1,SD0000065,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000042,Closed,4,4,4,0.898981779,incident,KM0000611,closed,12,"23-01-2013 14:39",,"08-11-2013 15:21","08-11-2013 15:22","2,14,27,12,778","No error - works as designed",1,SD0000068,,,
SUB000535,subapplication,"Web Based Application",WBS000066,IM0000045,Closed,4,4,4,0.146862046,incident,KM0000928,closed,7,"30-01-2013 16:37",,"27-01-2014 12:33","27-01-2014 12:33","11,18,525",Software,1,SD0000072,,,
SUB000535,subapplication,"Web Based Application",WBS000066,IM0000046,Closed,4,4,4,0.941495195,incident,KM0000931,closed,3,"31-01-2013 17:27",,"12-02-2014 09:05","12-02-2014 09:05","2,76,06,06,389",Other,1,SD0000073,1,,
WBA000082,application,"Web Based Application",WBS000055,IM0000047,Closed,4,4,4,0.076103079,incident,KM0000401,closed,4,"04-02-2013 14:38",,"02-01-2014 15:22","02-01-2014 15:22","2,44,72,33,889",Other,1,SD0000074,,,
SBA000662,application,"Server Based Application",WBS000071,IM0000048,Closed,5,5,5,0.748361437,"request for information",KM0000524,closed,0,"06-02-2013 14:07","17-10-2013 12:22","17-10-2013 14:00","17-10-2013 14:00","3,88,55,55,556","No error - works as designed",2,#MULTIVALUE,,,
SBA000607,application,"Server Based Application",WBS000263,IM0000049,Closed,5,5,5,0.246183023,"request for information",KM0000592,closed,11,"08-02-2013 10:47",,"17-10-2013 15:40","17-10-2013 15:40","1,85,28,81,944",Other,1,SD0000076,,,
SBA000263,application,"Server Based Application",WBS000072,IM0000053,Closed,5,5,5,0.85372157,"request for information",KM0001104,closed,2,"18-02-2013 11:59","04-12-2013 13:58",,"04-12-2013 14:00","2,77,45,55,556",Other,2,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000055,Closed,4,4,4,0.264909486,incident,KM0000611,closed,9,"19-02-2013 11:52",,"23-12-2013 13:03","23-12-2013 13:04","2050,36",Other,1,SD0000081,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000056,Closed,4,4,4,0.243465909,incident,KM0000611,closed,2,"20-02-2013 10:14",,"08-11-2013 13:56","08-11-2013 13:57","1,93,57,10,556",Other,1,SD0000082,,,
SUB000433,subapplication,"Web Based Application",WBS000073,IM0000057,Closed,4,4,4,0.121926581,incident,KM0000791,closed,1,"25-02-2013 16:03",,"12-03-2014 10:15","12-03-2014 10:16","2,76,46,33,056",Other,3,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000058,Closed,4,4,4,0.272361649,incident,KM0000611,closed,2,"26-02-2013 16:44",,"12-11-2013 13:40","12-11-2013 13:40","61,125",Other,1,SD0000085,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000059,Closed,4,4,4,0.153093248,incident,KM0000611,closed,2,"28-02-2013 12:23","03-12-2013 08:57","03-12-2013 10:36","03-12-2013 10:36","8,86,71,66,667",Other,2,#MULTIVALUE,,,
WBA000133,application,"Web Based Application",WBS000073,IM0000060,Closed,4,4,4,0.518267343,incident,KM0001633,closed,0,"28-02-2013 16:49",,"20-11-2013 16:38","20-11-2013 16:38","1,91,71,75,278","No error - works as designed",1,SD0000086,,,
SUB000431,subapplication,"Web Based Application",WBS000066,IM0000061,Closed,5,5,5,0.433426008,"request for information",KM0000603,closed,3,"01-03-2013 10:19","24-01-2014 15:20",,"27-01-2014 12:44","23,33",Software,2,#MULTIVALUE,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0000062,Closed,4,4,4,0.335109108,incident,KM0000553,closed,2,"04-03-2013 12:31",,"08-11-2013 15:33","08-11-2013 15:33","4,91,11,66,667","No error - works as designed",1,SD0000087,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000064,Closed,3,3,3,0.481872792,incident,KM0000611,closed,4,"05-03-2013 13:58",,"08-11-2013 15:35","08-11-2013 15:35","2,16,22,22,222",Software,1,SD0000090,,2,#MULTIVALUE
SBA000314,application,"Server Based Application",WBS000054,IM0000067,Closed,5,5,5,0.719922533,incident,KM0000650,closed,25,"11-03-2013 09:08","08-10-2013 09:14","09-10-2013 13:41","09-10-2013 13:41","8,73,98,05,556",Other,2,#MULTIVALUE,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0000068,Closed,4,4,4,0.466746714,incident,KM0000553,closed,8,"12-03-2013 09:54",,"08-11-2013 15:34","08-11-2013 15:34","3,19,78,94,444","No error - works as designed",1,SD0000093,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000071,Closed,4,4,4,0.640788604,incident,KM0000611,closed,4,"15-03-2013 15:25","03-01-2014 14:14","06-01-2014 11:50","06-01-2014 11:51","1,92,23,61,111",Other,2,#MULTIVALUE,,,
SAP000005,application,SAP,WBS000271,IM0000073,Closed,5,5,5,0.683291495,"request for information",KM0001124,closed,30,"21-03-2013 14:54",,"01-10-2013 07:52","01-10-2013 07:52","6,83,96,30,556",Other,1,SD0000099,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0000074,Closed,3,3,3,0.695187047,incident,KM0000553,closed,15,"26-03-2013 12:23","24-03-2014 12:35","24-03-2014 13:28","24-03-2014 13:28","1,56,41,90,278",Other,2,#MULTIVALUE,1,1,C00000308
SUB000456,subapplication,"Web Based Application",WBS000073,IM0000075,Closed,4,4,4,0.588797918,incident,KM0000741,closed,9,"27-03-2013 10:07","10-04-2013 09:15","30-12-2013 10:34","30-12-2013 10:36","37,655",Data,3,#MULTIVALUE,1,,
SAP000004,application,SAP,WBS000271,IM0000078,Closed,5,5,5,0.775691867,"request for information",KM0001572,closed,37,"03-04-2013 12:11",,"17-10-2013 11:43","17-10-2013 11:43","1,45,90,33,333",Software,1,SD0000103,,,
SAP000003,application,SAP,WBS000271,IM0000080,Closed,4,4,4,0.282283906,incident,KM0001163,closed,26,"04-04-2013 12:33","21-10-2013 08:50","16-01-2014 14:20","16-01-2014 14:21","1,80,62,78,611",Other,2,#MULTIVALUE,,,
SBA000462,application,"Server Based Application",WBS000073,IM0000081,Closed,4,3,3,0.461804336,incident,KM0001363,closed,7,"05-04-2013 10:17",,"30-12-2013 10:39","30-12-2013 10:40","1,92,41,11,111",Other,1,SD0000105,,,
WBA000133,application,"Web Based Application",WBS000073,IM0000082,Closed,4,4,4,0.039607326,incident,KM0001311,closed,6,"05-04-2013 10:19","18-11-2013 09:46","05-12-2013 12:00","05-12-2013 12:00","122,32",Other,2,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000083,Closed,4,4,4,0.618856225,incident,KM0000611,closed,2,"09-04-2013 12:49",,"08-11-2013 15:36","08-11-2013 15:36","1,77,86,91,667",Software,1,SD0000106,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000084,Closed,4,4,4,0.572816912,incident,KM0000401,closed,4,"10-04-2013 13:20",,"08-11-2013 15:41","08-11-2013 15:41","1,56,68,525","No error - works as designed",1,SD0000108,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000085,Closed,3,4,3,0.462625534,incident,KM0000611,closed,4,"10-04-2013 15:13",,"08-11-2013 15:46","08-11-2013 15:46","1,57,55,43,889","No error - works as designed",1,SD0000109,,,
SAP000004,application,SAP,WBS000271,IM0000088,Closed,5,5,5,0.773604774,"request for information",KM0001264,closed,32,"16-04-2013 11:07","12-11-2013 12:04","12-11-2013 12:13","12-11-2013 12:13","7,06,115",Other,2,#MULTIVALUE,1,,
CBA000014,application,"Client Based Application",WBS000073,IM0000089,Closed,4,4,4,0.001178621,incident,KM0001346,closed,9,"16-04-2013 14:51",,"27-11-2013 14:23","27-11-2013 14:23","1,63,86,33,056",Software,14,#MULTIVALUE,1,,
SBA000045,application,"Server Based Application",WBS000170,IM0000090,Closed,5,5,5,0.283634692,incident,KM0000565,closed,1,"17-04-2013 09:06",,"22-01-2014 16:19","22-01-2014 16:20","21,97",Unknown,1,SD0000113,1,1,C00000582
SBA000172,application,"Server Based Application",WBS000014,IM0000091,Closed,4,4,4,0.485062587,incident,KM0000426,closed,1,"17-04-2013 14:31",,"08-10-2013 11:19","08-10-2013 11:25","1,39,05,55,556",Other,1,SD0000114,,,
SBA000607,application,"Server Based Application",WBS000263,IM0000092,Closed,5,5,5,0.603933029,"request for information",KM0000592,closed,12,"17-04-2013 16:20",,"30-01-2014 09:19","30-01-2014 09:19","1,04,21,09,167",Other,1,SD0000115,1,,
SUB000002,subapplication,Citrix,WBS000098,IM0000094,Closed,4,4,4,0.388681292,incident,KM0001435,closed,4,"19-04-2013 08:26",,"16-10-2013 12:20","16-10-2013 12:20","1,32,69,03,056",Software,2,#MULTIVALUE,,,
STA000033,application,"Standard Application",WBS000066,IM0000095,Closed,4,4,4,0.523734033,incident,KM0000575,closed,8,"22-04-2013 12:07",,"29-01-2014 15:31","29-01-2014 15:31","2,08,24,08,889",Software,1,SD0000119,,,
WBA000133,application,"Web Based Application",WBS000073,IM0000098,Closed,4,5,4,0.895752799,incident,KM0000711,closed,1,"24-04-2013 15:24",,"12-10-2013 16:28","12-10-2013 16:28","1,25,20,89,167",Other,1,SD0000122,,,
SBA000782,application,"Server Based Application",WBS000043,IM0000099,Closed,3,3,3,0.637701727,incident,KM0000220,closed,1,"25-04-2013 10:20",,"09-12-2013 14:32","09-12-2013 14:32","1,68,42,07,778",Other,1,SD0000125,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000100,Closed,4,4,4,0.20113793,incident,KM0000611,closed,8,"25-04-2013 14:37",,"12-11-2013 13:32","12-11-2013 13:32","61,785",Other,1,SD0000127,1,,
WBA000116,application,"Web Based Application",WBS000066,IM0000101,Closed,4,4,4,0.268451314,incident,KM0000579,closed,2,"25-04-2013 14:51",,"12-11-2013 13:25","12-11-2013 13:26","1,47,90,86,111",Hardware,1,SD0000128,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000103,Closed,4,4,4,0.222209962,incident,KM0000611,closed,4,"26-04-2013 15:33",,"12-11-2013 13:33","12-11-2013 13:33","1,46,80,05,278",Other,1,SD0000129,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000104,Closed,4,4,4,0.979540257,incident,KM0000611,closed,4,"01-05-2013 11:47",,"12-11-2013 13:34","12-11-2013 13:34","2,53,44,44,444",Other,1,SD0000131,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000105,Closed,5,5,5,0.109542654,incident,KM0000611,closed,9,"03-05-2013 12:00",,"09-01-2014 14:27","09-01-2014 14:27","5,57,83,27,778",Software,1,SD0000134,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0000106,Closed,4,4,4,0.587225966,incident,KM0000553,closed,4,"06-05-2013 10:11",,"12-11-2013 13:35","12-11-2013 13:35","1,75,44,44,444",Other,1,SD0000136,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000107,Closed,4,4,4,0.186114044,incident,KM0000611,closed,2,"06-05-2013 13:50",,"12-11-2013 14:03","12-11-2013 14:03","1,40,72,19,722",Unknown,1,SD0000137,,,
SBA000458,application,"Server Based Application",WBS000073,IM0000109,Closed,4,4,4,0.982712191,incident,KM0001539,closed,8,"07-05-2013 11:44",,"20-12-2013 15:33","20-12-2013 15:33","1,57,04,09,167",Other,1,SD0000139,,,
SBA000033,application,"Server Based Application",WBS000086,IM0000110,Closed,4,4,4,0.697089437,incident,KM0000041,closed,3,"07-05-2013 11:44",,"07-01-2014 09:50","07-01-2014 09:50","3,56,83,33,333","No error - works as designed",1,SD0000138,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000111,Closed,4,4,4,0.296831585,incident,KM0000611,closed,13,"07-05-2013 14:04",,"05-12-2013 11:19","05-12-2013 11:19","1,49,50,71,111",Other,1,SD0000141,,,
CBA000014,application,"Client Based Application",WBS000073,IM0000112,Closed,5,5,5,0.965152363,incident,KM0001723,closed,15,"07-05-2013 15:04","17-05-2013 09:08",,"09-12-2013 08:42","1,24,86,74,444",Other,2,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000113,Closed,4,4,4,0.68115697,incident,KM0000611,closed,8,"07-05-2013 15:12",,"05-12-2013 11:15","05-12-2013 11:16","6,09,40,80,556",Other,1,SD0000142,1,,
SBA000263,application,"Server Based Application",WBS000072,IM0000114,Closed,5,5,5,0.06364679,"request for information",KM0001116,closed,8,"10-05-2013 11:04","10-10-2013 14:48","21-10-2013 11:48","21-10-2013 11:48","1,99,82,61,111",Other,2,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000115,Closed,3,3,3,0.232393197,incident,KM0000611,closed,2,"13-05-2013 11:19",,"12-11-2013 13:38","12-11-2013 13:39","3,37,09,72,222",Other,1,SD0000145,,,
WBA000024,application,"Web Based Application",WBS000027,IM0000117,Closed,4,4,4,0.098705575,incident,KM0001424,closed,7,"15-05-2013 12:34","05-03-2014 08:34","05-03-2014 08:34","05-03-2014 08:34","5,01,33,88,889",Software,2,#MULTIVALUE,,,
SBA000765,application,"Server Based Application",WBS000300,IM0000120,Closed,3,3,3,0.231178197,incident,KM0001274,closed,6,"22-05-2013 00:42","22-05-2013 15:27",,"17-01-2014 15:00","1,77,59,11,667",Unknown,1,SD0000149,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000121,Closed,4,4,4,0.617566356,incident,KM0000611,closed,2,"22-05-2013 10:09",,"12-11-2013 13:36","12-11-2013 13:36","1,30,54,62,778",Other,1,SD0000150,,,
SBA000834,application,"Server Based Application",WBS000223,IM0000122,Closed,4,4,4,0.564637939,incident,KM0000979,closed,22,"22-05-2013 11:21","12-08-2013 10:16",,"14-10-2013 14:15","8,25,10,83,333",Other,7,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000123,Closed,5,5,5,0.344261805,incident,KM0000611,closed,10,"22-05-2013 12:01",,"12-11-2013 14:06","12-11-2013 14:06","1,30,40,83,889",Other,1,SD0000151,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000124,Closed,4,4,4,0.231572675,incident,KM0000611,closed,4,"22-05-2013 14:15",,"12-11-2013 14:05","12-11-2013 14:05","1,30,18,27,778",Unknown,1,SD0000153,,,
SBA000176,application,"Server Based Application",WBS000311,IM0000125,Closed,3,3,3,0.527580856,incident,KM0001274,closed,3,"23-05-2013 10:48",,"10-10-2013 14:48","10-10-2013 14:49","5,12,97,22,222",Other,1,SD0000152,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000126,Closed,4,4,4,0.765434029,incident,KM0000611,closed,2,"23-05-2013 14:38",,"12-11-2013 13:37","12-11-2013 13:37","1,29,04,83,611",Other,1,SD0000155,,,
SBA000782,application,"Server Based Application",WBS000043,IM0000127,Closed,3,3,3,0.338412806,incident,KM0001763,closed,1,"24-05-2013 08:05",,"17-10-2013 14:23","17-10-2013 14:23","1,09,83,04,722",Other,3,#MULTIVALUE,,,
WBA000094,application,"Web Based Application",WBS000073,IM0000128,Closed,4,4,4,0.714684316,incident,KM0001732,closed,0,"24-05-2013 09:34","27-06-2013 14:56","05-12-2013 08:27","05-12-2013 08:28","1,45,66,98,056",Other,3,#MULTIVALUE,,,
SBA000301,application,"Server Based Application",WBS000142,IM0000129,Closed,4,4,4,0.734281231,"request for information",KM0000647,closed,10,"27-05-2013 10:44",,"16-01-2014 15:12","16-01-2014 15:12","7,62,89,72,222",Software,1,SD0000156,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0000130,Closed,4,4,4,0.084297089,incident,KM0000553,closed,2,"27-05-2013 15:38",,"12-11-2013 13:41","12-11-2013 13:41","1,26,85,475",Other,1,SD0000157,,,
SBA000480,application,"Server Based Application",WBS000109,IM0000131,Closed,5,5,5,0.48018606,incident,KM0000530,closed,5,"27-05-2013 16:28","20-06-2013 14:23","05-11-2013 10:36","05-11-2013 10:36","9,96,62,08,333","No error - works as designed",1,SD0000158,,,
SAP000003,application,SAP,WBS000271,IM0000132,Closed,5,5,5,0.959622117,"request for information",KM0001163,closed,12,"29-05-2013 09:15",,"10-10-2013 13:40","10-10-2013 13:40","3,67,62,69,444",Software,1,SD0000160,,,
SBA000263,application,"Server Based Application",WBS000072,IM0000133,Closed,5,5,5,0.199091024,"request for information",KM0001112,closed,6,"30-05-2013 14:28","25-10-2013 11:29","05-11-2013 15:15","05-11-2013 15:15","8,32,46,94,444",Other,2,#MULTIVALUE,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000134,Closed,3,3,3,0.351627289,incident,KM0000401,closed,2,"31-05-2013 09:20",,"12-11-2013 13:42","12-11-2013 13:43","1,07,19,44,444",Other,1,SD0000162,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0000135,Closed,4,4,4,0.099276903,incident,KM0000553,closed,4,"03-06-2013 10:09",,"12-11-2013 13:47","12-11-2013 13:47","1,22,16,29,167",Other,1,SD0000163,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000136,Closed,4,4,4,0.992261495,incident,KM0000401,closed,2,"04-06-2013 09:25",,"12-11-2013 13:38","12-11-2013 13:38","1,21,17,29,444",Other,1,SD0000164,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000137,Closed,4,4,4,0.360881069,incident,KM0000611,closed,2,"04-06-2013 10:00",,"12-11-2013 13:42","12-11-2013 13:42","1,21,12,14,167",Other,1,SD0000165,,,
SBA000045,application,"Server Based Application",WBS000170,IM0000139,Closed,4,4,4,0.56691083,incident,KM0000565,closed,3,"04-06-2013 16:13",,"29-01-2014 10:47","29-01-2014 10:47","7,32,08,33,333",Unknown,2,#MULTIVALUE,1,,
SUB000545,subapplication,"Web Based Application",WBS000073,IM0000140,Closed,5,5,5,0.399095833,incident,KM0000795,closed,1,"05-06-2013 08:24",,"20-11-2013 16:43","20-11-2013 16:43","1,26,83,19,167",Software,1,SD0000169,,,
SAP000004,application,SAP,WBS000271,IM0000142,Closed,5,5,5,0.602360706,"request for information",KM0001269,closed,15,"06-06-2013 08:54","13-09-2013 11:33","23-10-2013 17:21","23-10-2013 17:21","6,30,11,72,222",Questions,2,#MULTIVALUE,,,
SBA000834,application,"Server Based Application",WBS000223,IM0000143,Closed,4,4,4,0.428121508,incident,KM0001509,closed,6,"06-06-2013 11:14","10-06-2013 12:22","04-12-2013 14:54","04-12-2013 14:54","1,32,05,49,722","Operator error",4,#MULTIVALUE,,,
WBA000133,application,"Web Based Application",WBS000073,IM0000145,Closed,4,5,4,0.587638286,incident,KM0000711,closed,15,"10-06-2013 08:53",,"15-11-2013 15:27","15-11-2013 15:27","7,01,48,91,667",Unknown,1,SD0000171,,,
STA000033,application,"Standard Application",WBS000066,IM0000146,Closed,3,3,3,0.939614352,incident,KM0000575,closed,3,"10-06-2013 13:00",,"29-01-2014 14:30","29-01-2014 14:31","1,57,50,72,222",Other,1,SD0000173,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000147,Closed,4,4,4,0.139540592,incident,KM0000401,closed,26,"10-06-2013 16:33",,"12-11-2013 14:18","12-11-2013 14:18","1,16,32,59,722","No error - works as designed",1,SD0000175,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000148,Closed,4,4,4,0.402756938,incident,KM0000611,closed,2,"10-06-2013 16:44",,"12-11-2013 13:42","12-11-2013 13:43","1,16,24,83,333",Other,1,SD0000176,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000149,Closed,4,4,4,0.884999664,incident,KM0000611,closed,5,"11-06-2013 10:28","10-10-2013 15:06","16-10-2013 14:09","16-10-2013 14:09","3,12,03,83,333",Software,2,#MULTIVALUE,,,
SBA000782,application,"Server Based Application",WBS000043,IM0000151,Closed,NS,3,NA,0.610829367,incident,KM0001763,closed,1,"11-06-2013 16:17",,"17-10-2013 15:03","17-10-2013 15:03","9,64,76,66,667",Other,1,SD0000177,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000152,Closed,4,4,4,0.686274493,incident,KM0000611,closed,7,"12-06-2013 16:48",,"12-11-2013 14:05","12-11-2013 14:05","1,14,09,22,778",Other,1,SD0000180,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000153,Closed,4,4,4,0.135839878,incident,KM0000611,closed,2,"12-06-2013 14:57",,"12-11-2013 13:44","12-11-2013 13:44","1,14,32,80,556",Other,1,SD0000179,,,
SUB000465,subapplication,"Web Based Application",WBS000073,IM0000154,Closed,4,4,4,0.289314694,incident,KM0000778,closed,2,"13-06-2013 10:23",,"04-11-2013 14:00","04-11-2013 14:01","1,07,46,20,833",Unknown,5,#MULTIVALUE,,,
SBA000782,application,"Server Based Application",WBS000043,IM0000155,Closed,3,3,3,0.527348581,incident,KM0001763,closed,1,"13-06-2013 10:42",,"09-12-2013 15:05","09-12-2013 15:05","1,33,78,91,667",Other,1,SD0000182,,,
SAP000003,application,SAP,WBS000271,IM0000156,Closed,5,5,5,0.65449422,incident,KM0001163,closed,9,"13-06-2013 11:48",,"18-12-2013 09:09","18-12-2013 09:10","1,22,95,82,222",Other,1,SD0000183,,,
SBA000834,application,"Server Based Application",WBS000223,IM0000157,Closed,5,5,5,0.643286309,incident,KM0000979,closed,2,"14-06-2013 13:42",,"21-11-2013 10:24","21-11-2013 10:25","1,19,37,10,556",Software,2,#MULTIVALUE,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000158,Closed,3,3,3,0.20223863,incident,KM0000611,closed,2,"17-06-2013 11:11",,"12-11-2013 13:46","12-11-2013 13:46","1,11,55,83,056",Other,1,SD0000185,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000159,Closed,4,4,4,0.827583428,incident,KM0000401,closed,4,"17-06-2013 14:47",,"12-11-2013 13:46","12-11-2013 13:46","1,11,19,87,222",Other,1,SD0000186,,,
